Date;SunshineTime;System Production (Wh)
2018-07-28;8,57;22644
2018-07-29;11,36;34337
2018-07-30;4,81;27072
2018-07-31;9,05;31733
2018-08-01;7,26;22553
2018-08-02;13,74;33080
2018-08-03;9,44;32839
2018-08-04;10,21;28702
2018-08-05;10,81;31067
2018-08-06;5,12;17026
2018-08-07;10,5;31432
2018-08-08;5,42;19993
2018-08-09;11,56;33347
2018-08-10;2,68;21564
2018-08-11;4,18;18320
2018-08-12;12,47;31056
2018-08-13;10,89;27371
2018-08-14;0;13942
2018-08-15;5,62;25017
2018-08-16;0,29;16240
2018-08-17;4,08;18689
2018-08-18;2;8537
2018-08-19;1,85;9515
2018-08-20;6,89;22594
2018-08-21;13,63;30381
2018-08-22;0,24;12250
2018-08-23;1,69;20674
2018-08-24;1,74;12158
2018-08-25;8,73;20874
2018-08-26;7,54;24756
2018-08-27;0,34;4943
2018-08-28;5,27;13021
2018-08-29;1,48;12153
2018-08-30;0;5717
2018-08-31;0;12291
2018-09-01;3,42;17069
2018-09-02;12,61;25912
2018-09-03;12,2;25987
2018-09-04;2,87;22379
2018-09-05;4,4;21375
2018-09-06;4,21;16462
2018-09-07;1,25;13206
2018-09-08;4,26;13010
2018-09-09;0,06;6894
2018-09-10;3,77;18203
2018-09-11;0;3244
2018-09-12;2,98;12805
2018-09-13;2,33;18307
2018-09-14;0,53;8188
2018-09-15;7,19;20712
2018-09-16;2,27;10452
2018-09-17;4,87;17901
2018-09-18;11,03;20431
2018-09-19;1,08;13961
2018-09-20;0,97;5099
2018-09-21;0,65;5942
2018-09-22;3,73;15969
2018-09-23;6,49;15319
2018-09-24;10,6;17195
2018-09-25;8,66;18580
2018-09-26;0,01;2900
2018-09-27;0,06;6539
2018-09-28;10,14;18175
2018-09-29;0,37;8262
2018-09-30;1,05;8586
2018-10-01;3,57;13401
2018-10-02;0,54;5131
2018-10-03;7,17;14846
2018-10-04;0,24;5702
2018-10-05;1,07;2650
2018-10-06;0;7868
2018-10-07;9,12;14721
2018-10-08;0;1211
2018-10-09;0;2649
2018-10-10;2,78;5044
2018-10-11;9,86;12149
2018-10-12;8,96;11837
2018-10-13;4,54;9540
2018-10-14;9,61;11322
2018-10-15;9,01;10872
2018-10-16;0,54;5721
2018-10-17;0,42;7134
2018-10-18;9,02;10195
2018-10-19;6,61;9298
2018-10-20;5,91;7906
2018-10-21;0;914
2018-10-22;7,2;8676
2018-10-23;6,1;7846
2018-10-24;7,53;8767
2018-10-25;8,99;8139
2018-10-26;0;1927
2018-10-27;0,43;5328
2018-10-28;4,04;7722
2018-10-29;0,65;4345
2018-10-30;0;930
2018-10-31;0,82;3861
2018-11-01;3,19;6475
2018-11-02;0;538
2018-11-03;5,87;5349
2018-11-04;4,11;4837
2018-11-05;0;1032
2018-11-06;3,64;4785
2018-11-07;2,68;4867
2018-11-08;0;877
2018-11-09;0;1112
2018-11-10;0;904
2018-11-11;0;220
2018-11-12;0;1808
2018-11-13;0;1082
2018-11-14;0,4;3552
2018-11-15;0,35;2286
2018-11-16;6,73;2827
2018-11-17;0;837
2018-11-18;5,08;2760
2018-11-19;4,43;2910
2018-11-20;6,75;2320
2018-11-21;1,66;1869
2018-11-22;0;591
2018-11-23;0;221
2018-11-24;0;596
2018-11-25;6,76;1486
2018-11-26;0,54;1478
2018-11-27;6,83;1360
2018-11-28;3,95;1318
2018-11-29;0;97
2018-11-30;0;107
2018-12-01;0;639
2018-12-02;0;116
2018-12-03;0;665
2018-12-04;1,35;2057
2018-12-05;4,99;1939
2018-12-06;0;453
2018-12-07;0;950
2018-12-08;0;341
2018-12-09;0;511
2018-12-10;0,13;1025
2018-12-11;0,49;1296
2018-12-12;0;1066
2018-12-13;0;477
2018-12-14;0;522
2018-12-15;0,31;843
2018-12-16;0;447
2018-12-17;0;0
2018-12-18;0,12;0
2018-12-19;0;544
2018-12-20;0;128
2018-12-21;0;240
2018-12-22;0;276
2018-12-23;0;77
2018-12-24;0;807
2018-12-25;2,08;1802
2018-12-26;3,62;1712
2018-12-27;1,26;1001
