Date;SunshineTime;System Production (Wh)
2020-10-01;1,51;10353
2020-10-02;5,3;12394
2020-10-03;0,54;7334
2020-10-04;0;950
2020-10-05;8,31;13812
2020-10-06;3,36;8640
2020-10-07;0,76;7113
2020-10-08;0,37;7375
2020-10-09;4,78;11265
2020-10-10;1,34;8372
2020-10-11;0,84;10321
2020-10-12;5,41;12531
2020-10-13;5,52;10221
2020-10-14;6,03;12032
2020-10-15;9,54;11440
2020-10-16;5,42;9591
2020-10-17;5,34;9437
2020-10-18;9,2;10352
2020-10-19;7,13;10615
2020-10-20;0;2709
2020-10-21;0;1129
2020-10-22;0;4472
2020-10-23;3,7;4166
2020-10-24;2,4;7644
2020-10-25;0;459
2020-10-26;0;2844
2020-10-27;0,15;3338
2020-10-28;4,05;6611
2020-10-29;2,09;3595
2020-10-30;0;2973
2020-10-31;6,56;6450
2020-11-01;1,62;
2020-11-02;0;
2020-11-03;2,38;
2020-11-04;4,21;
2020-11-05;0;
2020-11-06;7,44;
2020-11-07;0;
2020-11-08;1,3;
2020-11-09;0;
2020-11-10;0;
2020-11-11;0;
2020-11-12;0;
2020-11-13;0;
2020-11-14;2,98;
2020-11-15;0;
2020-11-16;0,12;
2020-11-17;0;
2020-11-18;0;
2020-11-19;1,11;
2020-11-20;5,99;
2020-11-21;0;
2020-11-22;0,16;
2020-11-23;4,16;
2020-11-24;0;
2020-11-25;0,2;
2020-11-26;5,14;
2020-11-27;6,82;
2020-11-28;1,53;
2020-11-29;0;
2020-11-30;0;
2020-12-01;1,95;
2020-12-02;0;
2020-12-03;0;
2020-12-04;0;
2020-12-05;0;
2020-12-06;0;
2020-12-07;0;
2020-12-08;0;
2020-12-09;0;
2020-12-10;0;
2020-12-11;0;
2020-12-12;0;
2020-12-13;0;
2020-12-14;0;
2020-12-15;0;
2020-12-16;0;
2020-12-17;0;
2020-12-18;0;
2020-12-19;0,04;
2020-12-20;0;
2020-12-21;0;
2020-12-22;0;
2020-12-23;1,58;
2020-12-24;3,56;
2020-12-25;4,41;
2020-12-26;0;
2020-12-27;0;
2020-12-28;0;
2020-12-29;0;
2020-12-30;0;
2020-12-31;0;
